Disease,Symptoms,Causes,Effects,Medicines,Doctor Name,Hospital Name,Specialist,Doctor Age,Doctor Location
Chronic Obstructive Pulmonary Disease (COPD),"Persistent cough, shortness of breath, wheezing",Progressive lung disease,"Lung damage, respiratory failure","Medications, lifestyle changes, oxygen therapy",Dr. Rajesh Sharma,AIIMS Delhi,Pulmonologist,52,"Mumbai, Maharashtra"
Bronchiectasis,"Chronic cough, sputum production, frequent lung infections",Damage to the airways,"Lung infections, respiratory issues","Medications, physiotherapy, supportive care",Dr. Priya Gupta,Max Healthcare,Pulmonologist,50,"Hyderabad, Telangana"
Sleep Apnea,"Loud snoring, daytime sleepiness, choking during sleep",Obstruction of the airway during sleep,"Cardiovascular issues, daytime fatigue","CPAP therapy, lifestyle changes",Dr. Anil Gupta,Fortis Hospital,Pulmonologist,48,"Bangalore, Karnataka"
Insomnia,Difficulty falling or staying asleep,Sleep disorder,"Daytime sleepiness, impaired concentration","Medications, cognitive behavioral therapy",Dr. Suresh Kumar,AIIMS Delhi,Sleep Specialist,49,"Delhi, Delhi"
Narcolepsy,"Excessive daytime sleepiness, sudden sleep attacks",Neurological disorder affecting sleep regulation,"Daytime fatigue, impaired function","Medications, lifestyle changes",Dr. Priya Rao,Narayana Health,Sleep Specialist,50,"Bangalore, Karnataka"
Restless Legs Syndrome (RLS),"Uncomfortable sensations in the legs, urge to move them",Neurological disorder,"Sleep disruption, daytime fatigue","Medications, lifestyle changes",Dr. Ananya Sharma,Max Healthcare,Sleep Specialist,48,"Mumbai, Maharashtra"
Sleepwalking,Walking or performing tasks while asleep,Sleep disorder,"Safety issues, impaired sleep quality","Behavioral therapy, medications",Dr. Rajesh Sharma,Fortis Hospital,Sleep Specialist,49,"Delhi, Delhi"
Narcolepsy,"Excessive daytime sleepiness, sudden sleep attacks",Neurological disorder affecting sleep regulation,"Daytime fatigue, impaired function","Medications, lifestyle changes",Dr. Ananya Sharma,Max Healthcare,Sleep Specialist,50,"Mumbai, Maharashtra"
Erectile Dysfunction,Difficulty in achieving or maintaining an erection,"Vascular, neurological, psychological causes","Relationship issues, self-esteem problems","Medications, therapy, lifestyle changes",Dr. Rajesh Sharma,Apollo Hospitals,Urologist,48,"Chennai, Tamil Nadu"
Benign Prostatic Hyperplasia (BPH),"Frequent urination, difficulty starting urination",Enlarged prostate gland,"Urinary obstruction, bladder issues","Medications, minimally invasive procedures",Dr. Priya Gupta,Fortis Malar Hospital,Urologist,49,"Chennai, Tamil Nadu"
Testicular Torsion,"Sudden, severe testicular pain, swelling",Twisting of the testicle,"Testicular damage, infertility",Surgery,Dr. Anil Gupta,Madras Medical Mission,Urologist,48,"Coimbatore, Tamil Nadu"
Hydronephrosis,"Pain, urinary issues, swelling in the flank",Swelling of a kidney due to urine buildup,"Kidney damage, urinary tract infections","Treat underlying cause, surgery if needed",Dr. Suresh Kumar,Apollo Hospitals,Urologist,50,"Chennai, Tamil Nadu"
Herpes Simplex,"Painful sores, itching, flu-like symptoms",Herpes simplex virus,"Recurring sores, discomfort","Antiviral medications, pain management",Dr. Priya Sharma,Fortis Malar Hospital,Dermatologist,46,"Chennai, Tamil Nadu"
Human Papillomavirus (HPV) Infection,"Genital warts, throat warts, cervical changes",HPV virus,"Cervical cancer, genital cancers","Vaccination, topical treatments, monitoring",Dr. Ananya Patel,Madras Medical Mission,Dermatologist,47,"Coimbatore, Tamil Nadu"
HIV/AIDS,"Weak immune system, weight loss, frequent infections",Human Immunodeficiency Virus,"Opportunistic infections, immune system collapse","Antiretroviral therapy, supportive care",Dr. Rajesh Sharma,Apollo Hospitals,Infectious Disease Specialist,49,"Chennai, Tamil Nadu"
Hepatitis B,"Jaundice, abdominal pain, dark urine",Hepatitis B virus,"Liver damage, cirrhosis, liver cancer","Antiviral medications, liver monitoring",Dr. Priya Gupta,Fortis Malar Hospital,Infectious Disease Specialist,48,"Coimbatore, Tamil Nadu"
Hepatitis C,"Fatigue, jaundice, abdominal pain",Hepatitis C virus,"Liver damage, cirrhosis, liver cancer","Antiviral medications, liver monitoring",Dr. Anil Sharma,Madras Medical Mission,Infectious Disease Specialist,50,"Chennai, Tamil Nadu"
Hepatitis D,"Jaundice, abdominal pain, weakness",Hepatitis D virus,"Liver damage, cirrhosis","Antiviral medications, hepatitis B treatment",Dr. Rajesh Kumar,Apollo Hospitals,Infectious Disease Specialist,47,"Coimbatore, Tamil Nadu"
Hepatitis E,"Jaundice, nausea, abdominal pain",Hepatitis E virus,"Liver damage, complications in pregnancy","Supportive care, monitoring",Dr. Suresh Kumar,Fortis Malar Hospital,Infectious Disease Specialist,46,"Chennai, Tamil Nadu"
Tuberculosis (TB),"Persistent cough, night sweats, weight loss",Mycobacterium tuberculosis,"Lung damage, systemic spread",Antitubercular therapy,Dr. Priya Rao,Madras Medical Mission,Pulmonologist,50,"Coimbatore, Tamil Nadu"
Lyme Disease,"Fever, rash, fatigue, joint pain",Borrelia burgdorferi bacteria,"Chronic joint problems, neurological issues",Antibiotics,Dr. Ananya Sharma,Apollo Hospitals,Infectious Disease Specialist,48,"Chennai, Tamil Nadu"
Malaria,"Fever, chills, headache, sweating",Plasmodium parasites transmitted by mosquitoes,"Severe anemia, organ failure",Antimalarial medications,Dr. Rajesh Sharma,Fortis Malar Hospital,Infectious Disease Specialist,50,"Coimbatore, Tamil Nadu"
Dengue Fever,"High fever, rash, severe headache",Dengue virus,"Dengue hemorrhagic fever, organ failure","Supportive care, fluids, pain management",Dr. Priya Gupta,Madras Medical Mission,Infectious Disease Specialist,47,"Chennai, Tamil Nadu"
Typhoid Fever,"Prolonged fever, abdominal pain, weakness",Salmonella typhi bacteria,"Intestinal bleeding, perforation","Antibiotics, supportive care",Dr. Anil Gupta,Apollo Hospitals,Infectious Disease Specialist,48,"Coimbatore, Tamil Nadu"
Schistosomiasis,"Abdominal pain, diarrhea, liver damage",Parasitic infection,"Liver damage, urinary tract issues","Antiparasitic medications, supportive care",Dr. Rajesh Kumar,Fortis Malar Hospital,Infectious Disease Specialist,49,"Chennai, Tamil Nadu"
Leptospirosis,"Fever, muscle pain, jaundice",Bacterial infection from water or soil,"Liver damage, kidney damage","Antibiotics, supportive care",Dr. Suresh Kumar,Madras Medical Mission,Infectious Disease Specialist,50,"Coimbatore, Tamil Nadu"
Tetanus,"Muscle stiffness, difficulty swallowing, fever",Bacterial toxin from Clostridium tetani,"Muscle spasms, respiratory issues","Tetanus antitoxin, antibiotics, supportive care",Dr. Priya Rao,Apollo Hospitals,Infectious Disease Specialist,48,"Chennai, Tamil Nadu"
Botulism,"Muscle weakness, difficulty swallowing, blurred vision",Botulinum toxin poisoning,"Respiratory failure, paralysis","Antitoxin administration, supportive care",Dr. Ananya Patel,Fortis Malar Hospital,Infectious Disease Specialist,47,"Coimbatore, Tamil Nadu"
Rabies,"Fever, headache, confusion, hydrophobia",Rabies virus,"Encephalitis, death","Post-exposure prophylaxis, supportive care",Dr. Rajesh Sharma,Madras Medical Mission,Infectious Disease Specialist,49,"Chennai, Tamil Nadu"
Chickenpox,"Itchy rash, fever, fatigue",Varicella-zoster virus,"Bacterial infections, complications in pregnancy","Antiviral medications, supportive care",Dr. Priya Sharma,Apollo Hospitals,Pediatrician,46,"Coimbatore, Tamil Nadu"
Shingles,"Painful rash, blisters, burning sensation",Reactivation of varicella-zoster virus,"Postherpetic neuralgia, eye problems","Antiviral medications, pain management",Dr. Anil Gupta,Fortis Malar Hospital,Dermatologist,48,"Chennai, Tamil Nadu"
Whooping Cough,"Severe cough, whooping sound, vomiting",Bordetella pertussis bacteria,"Respiratory issues, complications in infants","Antibiotics, supportive care",Dr. Rajesh Kumar,Madras Medical Mission,Pediatrician,47,"Coimbatore, Tamil Nadu"
Measles,"Rash, high fever, cough, runny nose",Measles virus,"Pneumonia, encephalitis","Vaccination, supportive care",Dr. Priya Rao,Apollo Hospitals,Pediatrician,50,"Chennai, Tamil Nadu"
Mumps,"Swollen salivary glands, fever, headache",Mumps virus,"Meningitis, orchitis, hearing loss","Vaccination, supportive care",Dr. Ananya Sharma,Fortis Malar Hospital,Pediatrician,48,"Coimbatore, Tamil Nadu"
Rubella,"Rash, fever, joint pain",Rubella virus,"Birth defects, arthritis","Vaccination, supportive care",Dr. Suresh Kumar,Madras Medical Mission,Pediatrician,47,"Chennai, Tamil Nadu"
Polio,"Muscle weakness, paralysis, fever",Poliovirus,"Permanent paralysis, respiratory issues","Vaccination, supportive care",Dr. Priya Patel,Apollo Hospitals,Pediatrician,46,"Coimbatore, Tamil Nadu"
Asbestosis,"Shortness of breath, persistent cough",Asbestos exposure,"Lung scarring, respiratory issues","Supportive care, avoidance of exposure",Dr. Rajesh Sharma,Fortis Malar Hospital,Pulmonologist,49,"Chennai, Tamil Nadu"
Silicosis,"Shortness of breath, cough, chest pain",Silica dust exposure,"Lung fibrosis, respiratory issues","Supportive care, avoidance of exposure",Dr. Anil Gupta,Madras Medical Mission,Pulmonologist,50,"Coimbatore, Tamil Nadu"
Black Lung Disease (Coal Workers' Pneumoconiosis),"Chronic cough, shortness of breath, chest pain",Coal dust exposure,Progressive lung disease,"Supportive care, avoidance of exposure",Dr. Priya Sharma,Apollo Hospitals,Pulmonologist,48,"Chennai, Tamil Nadu"
Pleural Effusion,"Shortness of breath, chest pain, cough",Fluid buildup between pleural layers,"Respiratory issues, lung damage","Treatment of underlying cause, drainage",Dr. Rajesh Kumar,Fortis Malar Hospital,Pulmonologist,47,"Coimbatore, Tamil Nadu"
Pneumothorax,"Sudden chest pain, difficulty breathing",Air leakage into pleural space,"Respiratory distress, lung collapse","Needle aspiration, chest tube insertion",Dr. Suresh Kumar,Madras Medical Mission,Pulmonologist,49,"Chennai, Tamil Nadu"
Emphysema,"Shortness of breath, chronic cough",Chronic obstructive pulmonary disease (COPD),"Lung damage, respiratory failure","Medications, oxygen therapy, lifestyle changes",Dr. Priya Rao,Apollo Hospitals,Pulmonologist,47,"Coimbatore, Tamil Nadu"
Chronic Bronchitis,"Persistent cough, mucus production, shortness of breath",Chronic inflammation of the bronchial tubes,"Respiratory issues, increased risk of infection","Medications, lifestyle changes",Dr. Ananya Sharma,Fortis Malar Hospital,Pulmonologist,50,"Chennai, Tamil Nadu"
Asthma,"Wheezing, shortness of breath, chest tightness",Inflammation of the airways,"Respiratory issues, exercise limitations","Inhalers, medications, lifestyle changes",Dr. Rajesh Sharma,Madras Medical Mission,Pulmonologist,48,"Coimbatore, Tamil Nadu"
Cystic Fibrosis,"Persistent cough, lung infections, digestive problems",Genetic disorder affecting lungs and pancreas,"Lung damage, digestive issues","Medications, physiotherapy, nutritional support",Dr. Priya Sharma,Apollo Hospitals,Pulmonologist,50,"Chennai, Tamil Nadu"
Sarcoidosis,"Fatigue, shortness of breath, swollen lymph nodes","Inflammation of organs, often lungs","Lung damage, systemic issues","Medications, supportive care",Dr. Anil Gupta,Fortis Malar Hospital,Pulmonologist,51,"Coimbatore, Tamil Nadu"
Interstitial Lung Disease (ILD),"Persistent cough, shortness of breath, fatigue",Group of lung diseases affecting interstitium,"Lung fibrosis, respiratory issues","Medications, oxygen therapy",Dr. Rajesh Sharma,Madras Medical Mission,Pulmonologist,49,"Chennai, Tamil Nadu"
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue",Lung scarring,"Progressive lung damage, respiratory failure","Medications, oxygen therapy",Dr. Priya Gupta,Apollo Hospitals,Pulmonologist,50,"Coimbatore, Tamil Nadu"
Pulmonary Embolism,"Sudden shortness of breath, chest pain, cough",Blood clot in the lungs,"Respiratory issues, cardiovascular problems","Anticoagulants, supportive care",Dr. Ananya Sharma,Fortis Malar Hospital,Pulmonologist,49,"Chennai, Tamil Nadu"
Acute Respiratory Distress Syndrome (ARDS),"Severe shortness of breath, low blood oxygen",Severe inflammation in the lungs,"Respiratory failure, organ damage","Mechanical ventilation, supportive care",Dr. Rajesh Kumar,Madras Medical Mission,Pulmonologist,50,"Coimbatore, Tamil Nadu"
Chronic Obstructive Pulmonary Disease (COPD),"Persistent cough, shortness of breath, wheezing",Progressive lung disease,"Lung damage, respiratory failure","Medications, lifestyle changes, oxygen therapy",Dr. Priya Rao,Apollo Hospitals,Pulmonologist,52,"Chennai, Tamil Nadu"
Bronchiectasis,"Chronic cough, sputum production, frequent lung infections",Damage to the airways,"Lung infections, respiratory issues","Medications, physiotherapy, supportive care",Dr. Anil Gupta,Fortis Malar Hospital,Pulmonologist,50,"Coimbatore, Tamil Nadu"
Sleep Apnea,"Loud snoring, daytime sleepiness, choking during sleep",Obstruction of the airway during sleep,"Cardiovascular issues, daytime fatigue","CPAP therapy, lifestyle changes",Dr. Rajesh Sharma,Madras Medical Mission,Sleep Specialist,48,"Chennai, Tamil Nadu"
Insomnia,Difficulty falling or staying asleep,Sleep disorder,"Daytime sleepiness, impaired concentration","Medications, cognitive behavioral therapy",Dr. Priya Sharma,Apollo Hospitals,Sleep Specialist,49,"Coimbatore, Tamil Nadu"
Narcolepsy,"Excessive daytime sleepiness, sudden sleep attacks",Neurological disorder affecting sleep regulation,"Daytime fatigue, impaired function","Medications, lifestyle changes",Dr. Ananya Patel,Fortis Malar Hospital,Sleep Specialist,50,"Chennai, Tamil Nadu"
Restless Legs Syndrome (RLS),"Uncomfortable sensations in the legs, urge to move them",Neurological disorder,"Sleep disruption, daytime fatigue","Medications, lifestyle changes",Dr. Rajesh Kumar,Madras Medical Mission,Sleep Specialist,48,"Coimbatore, Tamil Nadu"
Sleepwalking,Walking or performing tasks while asleep,Sleep disorder,"Safety issues, impaired sleep quality","Behavioral therapy, medications",Dr. Priya Rao,Apollo Hospitals,Sleep Specialist,49,"Chennai, Tamil Nadu"
Narcolepsy,"Excessive daytime sleepiness, sudden sleep attacks",Neurological disorder affecting sleep regulation,"Daytime fatigue, impaired function","Medications, lifestyle changes",Dr. Ananya Sharma,Fortis Malar Hospital,Sleep Specialist,50,"Coimbatore, Tamil Nadu"
